country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Afghanistan,100,100,100,100,100,200,200,200,200,200,500,500,500,500,500,500,500,500,500,500,500,500,520,530,540,550,560,570,570,570,580,570,570
Angola,2900,3600,4300,5200,6300,7400,8700,10k,12k,13k,15k,17k,19k,21k,23k,25k,27k,29k,31k,32k,34k,36k,38k,39k,39k,40k,41k,41k,41k,39k,38k,37k,35k
Azerbaijan,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200
Burundi,13k,15k,18k,19k,21k,23k,24k,25k,26k,26k,26k,26k,26k,25k,24k,23k,22k,21k,20k,19k,18k,17k,16k,15k,14k,13k,12k,11k,10k,9800,8800,8000,7400
Benin,1700,2300,2900,3600,4400,5300,6200,7000,7900,8700,9500,10k,11k,12k,12k,12k,13k,13k,13k,13k,13k,13k,12k,12k,12k,12k,11k,11k,10k,9600,9000,8500,7900
Burkina Faso,13k,15k,18k,20k,22k,24k,26k,27k,28k,29k,30k,30k,30k,29k,29k,28k,27k,26k,25k,24k,23k,21k,20k,19k,18k,17k,16k,15k,14k,13k,12k,11k,10k
Bangladesh,100,100,100,100,100,100,100,100,100,100,100,100,200,200,200,500,500,500,500,500,510,570,630,690,760,820,880,940,1000,1000,1100,1100,1200
Bahamas,100,200,200,200,200,200,500,500,500,500,500,500,500,500,500,200,200,200,200,200,200,200,200,200,200,200,200,200,200,100,100,100,100
Belarus,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,200,200,200,200,200,200,200,200
Belize,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,200,200,200,100,100,100,200,100,100,100,100,100,100,100,100,100
Bolivia,100,200,200,500,500,500,520,600,680,760,840,910,980,1000,1100,1100,1200,1200,1200,1200,1100,1100,1100,1100,1100,1000,1000,950,910,880,860,830,800
Botswana,1800,2700,4000,5600,7300,9100,11k,13k,15k,18k,20k,21k,22k,23k,23k,23k,22k,22k,21k,20k,19k,19k,17k,16k,15k,14k,13k,12k,10k,9300,8400,7700,7000
Central African Republic,4600,5900,7200,8700,10k,12k,13k,15k,16k,17k,18k,19k,19k,20k,20k,20k,20k,20k,19k,18k,18k,17k,16k,16k,15k,14k,13k,13k,12k,12k,12k,11k,12k
Chile,100,100,100,100,100,100,100,100,200,200,200,200,200,200,200,200,200,200,200,200,500,500,500,500,500,500,500,500,500,500,500,500,500
Cote d'Ivoire,24k,30k,37k,44k,51k,57k,64k,70k,75k,80k,84k,87k,88k,88k,87k,85k,83k,79k,74k,69k,64k,60k,55k,50k,45k,41k,37k,34k,31k,28k,25k,23k,21k
Cameroon,3100,4400,6100,8300,11k,14k,18k,21k,26k,30k,34k,38k,41k,45k,48k,50k,52k,54k,55k,56k,55k,53k,51k,49k,46k,43k,41k,39k,37k,35k,33k,31k,29k
"Congo, Dem. Rep.",29k,35k,41k,47k,53k,60k,65k,70k,75k,79k,82k,85k,87k,88k,89k,89k,88k,87k,86k,84k,82k,80k,78k,76k,74k,71k,68k,67k,66k,65k,62k,61k,60k
"Congo, Rep.",3800,4400,5000,5600,6200,6700,7200,7600,8000,8300,8600,8800,8900,9000,9000,9100,9100,9100,9100,9200,9400,9300,9500,9600,9700,9900,10k,10k,11k,11k,11k,12k,12k
Colombia,660,870,1100,1400,1700,2000,2300,2600,2800,3000,3200,3400,3500,3600,3600,3600,3600,3600,3500,3400,3300,3200,3100,2900,2800,2700,2600,2500,2400,2300,2300,2100,2000
Cape Verde,100,100,100,100,100,100,100,200,200,200,200,200,200,200,200,200,200,200,200,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Costa Rica,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200
Cuba,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200
Dominican Republic,870,1200,1600,2000,2400,2800,3200,3600,3900,4300,4600,4800,5000,5100,5100,5000,4900,4800,4600,4400,4200,4000,3800,3700,3500,3400,3200,3100,3000,3000,3000,2900,2800
