country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Afghanistan,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,200,200,100,100,100,200,200,200,200,200,100,100,100,100,100,100
Angola,1400,1600,1900,2200,2600,3000,3400,3800,4300,4700,5200,5700,6100,6600,7100,7400,7300,7700,7800,8000,8000,8500,8500,8100,7400,7500,7700,7600,6800,5400,4900,4200,3800
Azerbaijan,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Burundi,5600,6000,6200,6100,4700,5900,5600,5000,4600,4500,4200,3900,3700,3400,3200,2900,2700,2600,2400,2300,1900,1800,1600,1500,1300,1200,860,890,920,950,500,500,500
Benin,870,1100,1300,1600,1900,2000,2200,2300,2400,2500,2500,2500,2500,2500,2500,2500,2400,2400,2000,2000,2000,1900,1900,2000,1900,1300,1200,1300,1100,880,750,830,640
Burkina Faso,5300,5700,6100,6200,6200,6100,6000,5800,5700,5400,5200,4900,4700,4400,4200,4000,3800,3400,3300,2900,2600,2400,2300,2100,1700,2100,1900,1600,1500,1200,1100,870,780
Bangladesh,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,200,200,200,200,200,200,200,200,200,200,200,200,200,200,500,500,500
Bahamas,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Belarus,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Belize,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Bolivia,100,100,200,200,200,200,500,500,500,500,500,500,500,500,500,500,500,500,500,200,200,200,200,200,200,200,200,100,100,100,200,100,100
Botswana,1200,1800,2400,3100,3700,4100,4400,4700,4900,5100,4900,4600,4200,3700,3300,2300,1800,1900,1800,1500,1600,1800,1100,910,1000,860,880,570,500,200,200,500,200
Central African Republic,2400,2800,3300,3600,3900,4200,4400,4500,4500,4500,4400,4300,4100,4000,3800,3600,3300,3100,2900,2700,2600,2400,2300,2500,2100,1800,1700,2000,1900,1800,1900,1900,2100
Chile,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Cote d'Ivoire,12k,14k,16k,17k,18k,19k,19k,19k,19k,19k,18k,17k,16k,15k,14k,13k,12k,10k,8000,6800,6200,6000,4700,3600,2700,2400,3100,2700,2500,1700,1800,1600,1600
Cameroon,1800,2500,3400,4500,5700,7000,8200,9300,10k,11k,12k,12k,12k,12k,12k,12k,11k,11k,10k,9800,7800,7200,6100,4600,4700,3800,4700,4300,4200,4800,4400,3800,3400
"Congo, Dem. Rep.",12k,14k,15k,16k,17k,18k,18k,18k,18k,18k,17k,17k,17k,16k,15k,15k,14k,14k,14k,13k,12k,12k,12k,12k,11k,8900,7700,7900,8400,7400,7500,7500,7300
"Congo, Rep.",1500,1600,1700,1700,1800,1800,1800,1800,1800,1800,1800,1800,1800,1700,1700,1700,1700,1700,1700,1800,1900,1700,1900,1900,1900,2000,2200,2200,2300,2400,2400,2400,2500
Colombia,500,500,550,630,690,730,760,770,770,760,750,720,700,660,600,520,550,520,500,500,500,500,500,500,500,500,500,500,500,500,500,200,200
Cape Verde,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Costa Rica,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Cuba,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Dominican Republic,560,700,830,950,1100,1100,1200,1200,1200,1200,1200,1200,1100,1000,900,780,710,620,550,540,500,500,500,500,500,500,500,500,500,500,500,500,500
Algeria,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,200,200,200,200,200,200,200,200,200,500,500,500
Ecuador,100,100,100,100,200,200,200,200,200,200,200,200,200,500,500,500,500,500,200,200,200,200,200,200,200,200,200,200,200,200,200,200,100
Egypt,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,200,200,200,200,200,200,200,200,200,200,200,200
Eritrea,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,200,200,200,200,200,100,100,100,100,100,100,100,100,100,100,100,100
Ethiopia,17k,20k,23k,26k,27k,28k,28k,28k,27k,26k,24k,22k,20k,19k,17k,15k,14k,13k,11k,10k,9000,7700,6100,5200,5000,4500,4700,4600,3700,3200,2200,2400,2000
Fiji,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
France,200,200,200,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Gabon,500,500,500,500,540,620,700,770,830,870,910,930,940,940,930,920,930,860,820,830,790,730,650,560,580,510,500,500,500,500,500,500,500
Ghana,4700,5500,6300,6900,7300,7600,7800,8000,8200,8300,8400,8400,8300,8100,7800,7700,7400,6300,5600,6000,5300,4700,4500,5000,4600,4800,4400,3900,3800,3700,3400,2600,2900
